date,mm_long,mm_short,mm_net,open_interest
2020-04-28,154025,7619,146406,500816
2020-05-05,142326,9085,133241,490343
2020-05-12,144015,21798,122217,496739
2020-05-19,153961,26897,127064,528205
2020-05-26,145566,32485,113081,519374
2020-06-02,133655,33300,100355,475745
2020-06-09,126407,35230,91177,475661
2020-06-16,135945,31257,104688,489563
2020-06-23,161593,32078,129515,532101
2020-06-30,173526,34971,138555,561628
2020-07-07,179810,40467,139343,572776
2020-07-14,177400,42427,134973,580175
2020-07-21,181256,40987,140269,603138
2020-07-28,159894,42758,117136,598629
2020-08-04,165357,51885,113472,561837
2020-08-11,155418,57726,97692,553345
2020-08-18,151016,55578,95438,544010
2020-08-25,145055,58206,86849,549282
2020-09-01,147175,49433,97742,547704
2020-09-08,155528,51236,104292,557457
2020-09-15,166571,55473,111098,578925
2020-09-22,144670,63222,81448,575877
2020-09-29,140320,45948,94372,562396
2020-10-06,139350,44738,94612,555555
2020-10-13,138169,56388,81781,553197
2020-10-20,149108,58543,90565,562993
2020-10-27,149140,47265,101875,560900
2020-11-03,140094,49399,90695,544774
2020-11-10,130105,50322,79783,547449
2020-11-17,139550,49103,90447,557533
2020-11-24,137503,52155,85348,555253
2020-12-01,134446,48903,85543,538042
2020-12-08,147844,49033,98811,549520
2020-12-15,151901,50022,101879,550366
2020-12-21,158194,50070,108124,560769
2020-12-29,159673,50678,108995,556414
2021-01-05,167096,50527,116569,568888
2021-01-12,131057,52823,78234,555538
2021-01-19,127161,49090,78071,541330
2021-01-26,142815,46416,96399,534574
2021-02-02,137062,49284,87778,520011
2021-02-09,134733,47093,87640,506741
2021-02-16,125997,58041,67956,503016
2021-02-23,125124,56001,69123,481125
2021-03-02,106608,60648,45960,467008
2021-03-09,96223,66793,29430,473871
2021-03-16,100669,59548,41121,476467
2021-03-23,107941,64420,43521,485457
2021-03-30,113009,69936,43073,467321
2021-04-06,121563,55091,66472,463353
2021-04-13,112070,58263,53807,460733
2021-04-20,116843,60419,56424,471738
2021-04-27,117144,66493,50651,473305
2021-05-04,117434,63809,53625,470341
2021-05-11,131295,49680,81615,498693
2021-05-18,141776,49786,91990,520410
2021-05-25,143862,36607,107255,510164
2021-06-01,147270,37297,109973,489198
2021-06-08,145037,37373,107664,491858
2021-06-15,138546,41754,96792,480127
2021-06-22,110038,47502,62536,453940
2021-06-29,115438,54056,61382,453360
2021-07-06,131218,53258,77960,465811
2021-07-13,135938,49647,86291,495798
2021-07-20,135163,44735,90428,490520
2021-07-27,131635,41405,90230,500187
2021-08-03,132920,43047,89873,485663
2021-08-10,111892,76489,35403,477232
2021-08-17,117272,58194,59078,485485
2021-08-24,126636,51192,75444,504735
2021-08-31,136555,54878,81677,507113
2021-09-07,129044,61449,67595,506772
2021-09-14,130837,59615,71222,506356
2021-09-21,119777,72933,46844,492765
2021-09-28,118923,88062,30861,490858
2021-10-05,126745,72579,54166,483789
2021-10-12,131668,73149,58519,484382
2021-10-19,124560,66761,57799,485974
2021-10-26,141280,54918,86362,509794
2021-11-02,136944,51705,85239,507616
2021-11-09,168133,42523,125610,571025
2021-11-16,185468,43083,142385,612612
2021-11-23,152273,46934,105339,559823
2021-11-30,137469,45384,92085,531868
2021-12-07,125067,44326,80741,499307
2021-12-14,121492,58075,63417,503709
2021-12-21,124120,52372,71748,500846
2021-12-28,130389,46726,83663,508912
2022-01-04,124252,44744,79508,502717
2022-01-11,119297,44987,74310,546516
2022-01-18,119807,48014,71793,539204
2022-01-25,140640,39265,101375,572078
2022-02-01,108309,58395,49914,515331
2022-02-08,117234,47767,69467,512842
2022-02-15,151530,43824,107706,558645
2022-02-22,183356,44380,138976,611488
2022-03-01,187215,38594,148621,615600
2022-03-08,181510,38537,142973,638502
2022-03-15,165597,39060,126537,617605
2022-03-22,152589,37457,115132,605191
2022-03-29,146486,38184,108302,574521
2022-04-05,148320,46693,101627,560666
2022-04-12,165244,48219,117025,577639
2022-04-19,157560,56294,101266,575202
2022-04-26,138215,57098,81117,557785
2022-05-03,128828,60981,67847,560441
2022-05-10,123931,61939,61992,571447
2022-05-17,115572,72212,43360,555756
2022-05-24,121174,60117,61057,530098
2022-05-31,112731,61938,50793,513722
2022-06-07,115215,57684,57531,494130
2022-06-14,109111,72206,36905,497456
2022-06-21,113220,63417,49803,500276
2022-06-28,110850,74748,36102,497005
2022-07-05,103472,86438,17034,498210
2022-07-12,91669,97802,-6133,542493
2022-07-19,91056,109794,-18738,524786
2022-07-26,92216,111309,-19093,487515
2022-08-02,96634,80779,15855,459649
2022-08-09,100013,59279,40734,453540
2022-08-16,96765,60392,36373,453960
2022-08-23,95850,73739,22111,457762
2022-08-30,91761,79973,11788,459165
2022-09-06,85842,92804,-6962,465908
2022-09-13,80300,98637,-18337,463674
2022-09-20,78544,115239,-36695,469395
2022-09-27,74171,117265,-43094,457061
2022-10-04,82806,89681,-6875,437065
2022-10-11,78365,83945,-5580,431395
2022-10-18,73344,99042,-25698,434701
2022-10-25,72016,110804,-38788,456072
2022-11-01,78213,119614,-41401,467276
2022-11-08,88059,104405,-16346,488471
2022-11-15,95065,69608,25457,495171
2022-11-22,92161,72730,19431,449542
2022-11-29,88032,73312,14720,433661
2022-12-06,93629,70142,23487,422100
2022-12-13,103737,66288,37449,437040
2022-12-20,104813,65718,39095,436653
2022-12-27,106983,56106,50877,440040
2023-01-03,109140,54559,54581,449393
2023-01-10,116604,54795,61809,481519
2023-01-17,124222,54845,69377,491818
2023-01-24,131501,51622,79879,499927
2023-01-31,138125,53678,84447,471642
2023-02-07,115521,55945,59576,439755
2023-02-14,106106,64933,41173,426116
2023-02-21,104710,68004,36706,422648
2023-02-28,99425,72850,26575,426890
2023-03-07,103439,89040,14399,458474
2023-03-14,118560,58839,59721,459064
2023-03-21,125090,43861,81229,469874
2023-03-28,130530,31370,99160,478611
2023-04-04,142348,32217,110131,476592
2023-04-11,135015,30409,104606,476567
2023-04-18,137170,34474,102696,482254
2023-04-25,135979,33176,102803,473209
2023-05-02,143191,29401,113790,493804
2023-05-09,143463,32477,110986,518951
2023-05-16,139786,35803,103983,521832
2023-05-23,128550,35411,93139,479080
2023-05-30,122904,36201,86703,449515
2023-06-06,120985,27557,93428,436301
2023-06-13,110512,35869,74643,432898
2023-06-20,110314,34275,76039,438037
2023-06-27,108209,38534,69675,431861
2023-07-03,123017,39869,83148,448063
2023-07-11,124394,41951,82443,483170
2023-07-18,147644,32326,115318,482104
2023-07-25,132603,37316,95287,476176
2023-08-01,123802,43793,80009,439383
2023-08-08,114585,55979,58606,427759
2023-08-15,113146,83610,29536,433611
2023-08-22,105085,95976,9109,430239
2023-08-29,120609,81367,39242,442806
2023-09-05,120222,69857,50365,438672
2023-09-12,117737,83166,34571,441221
2023-09-19,121172,73782,47390,438078
2023-09-26,114668,91230,23438,435620
2023-10-03,100500,108061,-7561,431226
2023-10-10,93934,120701,-26767,436499
2023-10-17,104708,89605,15103,439581
2023-10-24,122456,66708,55748,463476
2023-10-31,140111,65271,74840,475808
2023-11-07,140609,62374,78235,484347
2023-11-14,132924,68609,64315,486634
2023-11-21,144381,65246,79135,508429
2023-11-28,169695,54802,114893,505658
2023-12-05,159907,50520,109387,487469
2023-12-12,149634,54106,95528,469939
2023-12-19,155697,47421,108276,481203
2023-12-26,152801,46347,106454,491343
2024-01-02,154384,45235,109149,500364
2024-01-09,134333,45874,88459,489849
2024-01-16,130931,47702,83229,489334
2024-01-23,111298,50265,61033,465872
2024-01-30,108093,52069,56024,430328
2024-02-06,114316,46247,68069,419121
2024-02-13,100642,66466,34176,420812
2024-02-20,98840,48917,49923,407063
2024-02-27,103885,47732,56153,411195
2024-03-05,145106,35343,109763,471616
2024-03-12,173994,32911,141083,516057
2024-03-19,172588,29692,142896,535047
2024-03-26,163006,27211,135795,503642
2024-04-02,173073,25993,147080,500045
2024-04-09,174617,32885,141732,505214
2024-04-16,169910,35174,134736,517193
2024-04-23,176400,34261,142139,516249
2024-04-30,171853,36826,135027,519791
2024-05-07,164780,38681,126099,529835
2024-05-14,171868,41433,130435,522952
2024-05-21,190605,42082,148523,530591
2024-05-28,174444,25616,148828,485430
2024-06-04,172560,20261,152299,447488
2024-06-11,168424,15459,152965,436857
2024-06-18,177639,17018,160621,444345
2024-06-25,174756,16554,158202,452190
2024-07-02,167688,16873,150815,454730
2024-07-09,181982,24515,157467,516324
2024-07-16,216502,31970,184532,579862
2024-07-23,197802,34942,162860,572306
2024-07-30,185586,33222,152364,510914
2024-08-06,180303,29517,150786,480645
2024-08-13,203844,25929,177915,505872
2024-08-20,222142,28837,193305,532867
2024-08-27,217976,17685,200291,521759
2024-09-03,212086,19996,192090,511136
2024-09-10,213645,23190,190455,511501
2024-09-17,241844,25489,216355,537627
2024-09-24,256435,37406,219029,564640
2024-10-01,247867,33405,214462,533107
2024-10-08,227596,33537,194059,520316
2024-10-15,233871,34450,199421,541232
2024-10-22,242427,37267,205160,573760
2024-10-29,234856,39683,195173,579468
2024-11-05,219687,36684,183003,558034
2024-11-12,203661,38365,165296,535981
2024-11-19,193355,38181,155174,502952
2024-11-26,203596,24306,179290,472660
2024-12-03,203580,22845,180735,462040
2024-12-10,218482,22404,196078,483346
2024-12-17,201880,18378,183502,466571
2024-12-24,186099,20602,165497,454646
2024-12-31,182128,15959,166169,458584
2025-01-07,191873,14232,177641,477043
2025-01-14,206968,11346,195622,526467
2025-01-21,226964,11095,215869,571387
2025-01-28,227871,17331,210540,577505
2025-02-04,240485,30952,209533,542004
2025-02-11,229071,34268,194803,528719
2025-02-18,222538,37209,185329,522330
2025-02-25,212694,32882,179812,512179
2025-03-04,204965,38307,166658,489270
2025-03-11,204907,37331,167576,511276
2025-03-18,220879,37045,183834,533566
2025-03-25,213505,38773,174732,511482
2025-04-01,204833,62834,141999,498746
2025-04-08,175393,44407,130986,445468
2025-04-15,168400,43546,124854,456628
2025-04-22,166360,45458,120902,465351
2025-04-29,150715,44820,105895,451868
2025-05-06,144383,42292,102091,452414
2025-05-13,144410,43183,101227,440842
2025-05-20,149149,41520,107629,448000
2025-05-27,147502,36686,110816,437538
2025-06-03,159966,36384,123582,415941
2025-06-10,160680,36589,124091,417143
2025-06-17,167646,37135,130511,441214
2025-06-24,163829,38701,125128,434958
2025-07-01,165086,34726,130360,437662
2025-07-08,164685,35743,128942,443144
2025-07-15,172657,35930,136727,448531
2025-07-22,194753,34819,159934,489423
2025-07-29,170918,36662,134256,445259
2025-08-05,186304,32317,153987,449647
2025-08-12,182337,34050,148287,446152
2025-08-19,173388,36003,137385,438541
2025-08-26,175494,33577,141917,443760
2025-09-02,196127,34625,161502,492908
2025-09-09,198907,35388,163519,509625
2025-09-16,195347,36376,158971,516221
2025-09-23,198826,38277,160549,528789
2025-09-30,184199,38972,145227,493748
2025-10-07,170587,40828,129759,485559
2025-10-14,152187,43877,108310,485788
2025-10-21,135503,43276,92227,472421
2025-10-28,138605,34446,104159,457122
2025-11-04,130688,30143,100545,450399
2025-11-10,134155,30068,104087,459997
2025-11-18,130222,32017,98205,471953
2025-11-25,136979,27670,109309,432946
2025-12-02,140143,19819,120324,418490
2025-12-09,143383,19835,123548,432569
2025-12-16,152873,20277,132596,471093
2025-12-23,160581,24311,136270,492103
2025-12-30,148642,22602,126040,481866
2026-01-06,146445,23232,123213,488116
2026-01-13,158825,24080,134745,527455
2026-01-20,163668,26224,137444,528004
2026-01-27,143321,25162,118159,488463
2026-02-03,118936,26864,92072,409694
2026-02-10,119232,27210,92022,404391
2026-02-17,123011,27118,95893,407078
2026-02-24,121233,25259,95974,420182
2026-03-03,123456,25539,97917,409789
2026-03-10,125077,26678,98399,413956
2026-03-17,130147,28104,102043,411388
2026-03-24,119562,27941,91621,403925
2026-03-31,120092,27278,92814,361409
2026-04-07,120726,30694,90032,354877
2026-04-14,125422,30281,95141,362274
2026-04-21,123681,30705,92976,365842
2026-04-28,122257,32505,89752,369530
2026-05-05,123353,29099,94254,367932
2026-05-12,127242,29227,98015,376496
2026-05-19,122894,29354,93540,379325
2026-05-26,124277,26831,97446,353489
2026-06-02,129367,17188,112179,326052
2026-06-09,126280,20417,105863,332709
2026-06-16,128043,14322,113721,339330
2026-06-23,131102,15707,115395,352167
