Date,rsi_1d,macd_pct_1d,ema_cross_1d,atr_pct_1d,ret_1,ret_5,smc_bias_1d,zone_dist_atr,at_zone,high,low,close,label,label_bars
1928-03-28,0.7552597789315686,2.0415562649207395,1.0,0.6117329537635554,-0.0026434667526831,0.0127865235669051,0,10.211470789732177,0,18.88999938964844,18.88999938964844,18.88999938964844,1,2
1928-03-29,0.7645688321628313,2.0594189441714774,1.0,0.5888555885462614,0.0031713225865028,0.0186423705608111,0,11.11230722986657,0,18.950000762939453,18.950000762939453,18.950000762939453,1,1
1928-03-30,0.8078564192223433,2.1563746930057057,1.0,0.6596938578382874,0.0172643530077007,0.0262758144540824,0,12.343849272246088,0,19.280000686645508,19.280000686645508,19.280000686645508,0,1
1928-04-02,0.6610881019277377,2.1230331738441133,1.0,0.7643188032536641,-0.0193774501955901,-0.0073761869221917,0,8.302625574622843,0,18.90999984741211,18.90999984741211,18.90999984741211,1,3
1928-04-03,0.6797178888006706,2.073999298409348,1.0,0.7469300966502352,0.0058002065835323,0.0042149652294627,0,9.221068934445166,0,19.020000457763672,19.020000457763672,19.020000457763672,1,5
1928-04-04,0.6689181112805719,2.012158133347925,1.0,0.7059580646556409,-0.0015785684132962,0.0052798635688495,0,9.54786652820987,0,18.989999771118164,18.989999771118164,18.989999771118164,1,2
1928-04-05,0.7087811101388841,2.0135790618445086,1.0,0.7364974636088952,0.0125590230245866,0.0146675640069333,0,10.732309521530574,0,19.229999542236328,19.229999542236328,19.229999542236328,1,5
1928-04-09,0.7149415573234189,2.023804616836045,1.0,0.6972981081944938,0.0020779703854998,-0.0005188186152675,1,0.0744234379564476,1,19.270000457763672,19.270000457763672,19.270000457763672,0,1
1928-04-10,0.6518323831310627,1.958934322149088,1.0,0.7168293082815493,-0.0088611511567036,0.0099974804236189,1,1.3146922775514147,0,19.100000381469727,19.100000381469727,19.100000381469727,1,1
1928-04-11,0.7074526214315833,1.978457374087112,1.0,0.7789121481340209,0.0176444714795711,0.0218417453196577,1,1.0566589081111692,0,19.440000534057617,19.440000534057617,19.440000534057617,0,8
1928-04-12,0.6968738458984002,1.9888079498532516,1.0,0.7354337003011259,-0.0015444371847763,0.0218758765481776,1,0.9106919332757364,0,19.40999984741211,19.40999984741211,19.40999984741211,1,1
1928-04-13,0.7413086265991262,2.069257487697657,1.0,0.7876763401221561,0.016351907513505,0.025668761037096,1,2.895586436319032,0,19.729999542236328,19.729999542236328,19.729999542236328,0,2
1928-04-16,0.7234636956848718,2.1191331696977453,1.0,0.7514192083557357,-0.0025373897021143,0.0210534009494818,1,2.704906040092245,0,19.68000030517578,19.68000030517578,19.68000030517578,0,1
1928-04-17,0.6680442801659838,2.0820126492409368,1.0,0.7620135871799135,-0.0081633026950527,0.0217512494111327,1,1.6134974704164355,0,19.520000457763672,19.520000457763672,19.520000457763672,0,3
1928-04-18,0.6680442801659838,2.0155940633180265,1.0,0.707584045238491,0.0,0.0041067779315615,1,1.7376126604484692,0,19.520000457763672,19.520000457763672,19.520000457763672,0,2
1928-04-19,0.6871522935463668,1.9744137984078132,1.0,0.6933862527384274,0.0056193610998218,0.0112705762161597,1,2.571405941032769,0,19.6299991607666,19.6299991607666,19.6299991607666,0,1
1928-04-20,0.5906267750649001,1.837799597990548,1.0,0.7606187378655109,-0.0148834676208711,-0.0199647989182163,1,0.4078719990855415,1,19.34000015258789,19.34000015258789,19.34000015258789,0,1
1928-04-23,0.5373665760198317,1.6242133364565128,1.0,0.7841656925647162,-0.0098728022083398,-0.0273002114244418,0,0.8657057717770722,0,19.14999961853028,19.14999961853028,19.14999961853028,1,3
1928-04-24,0.5598627813431817,1.4581205103394157,1.0,0.7614771184497117,0.0052083650272285,-0.0139285437021605,0,0.2046650110131957,1,19.25,19.25,19.25,1,3
1928-04-25,0.5775601907703719,1.3455447579719992,1.0,0.7337212402865432,0.0041472285395269,-0.0097813151626335,1,0.3525335331975611,1,19.32999992370605,19.32999992370605,19.32999992370605,1,2
1928-04-26,0.6073169105779233,1.2951340954718662,1.0,0.7277744357797767,0.0072164948439401,-0.0081841814185152,1,1.3408732582019018,0,19.46999931335449,19.46999931335449,19.46999931335449,1,3
1928-04-27,0.6474349219817571,1.3202604644876568,1.0,0.7447992049354797,0.0107281230137461,0.0174274092161019,1,0.3411136294215713,1,19.68000030517578,19.68000030517578,19.68000030517578,1,5
1928-04-30,0.6599074309606041,1.3592676901973026,1.0,0.7144643798479053,0.003550584216124,0.0308507956405659,1,0.1417399431404987,1,19.75,19.75,19.75,1,4
1928-05-01,0.665371264954168,1.3880139920463477,1.0,0.6732586729685104,0.0015178695615656,0.027160300174903,1,0.375466924547137,1,19.780000686645508,19.780000686645508,19.780000686645508,1,3
1928-05-02,0.6747497955021353,1.4129264098712413,1.0,0.6416024262238059,0.0025245777756079,0.025537649410984,1,0.7859826268164141,0,19.82999992370605,19.82999992370605,19.82999992370605,1,2
1928-05-03,0.6932661800418037,1.4519908245697135,1.0,0.6286241999895372,0.0050302108527811,0.0233513654198249,1,1.5963688731227177,0,19.93000030517578,19.93000030517578,19.93000030517578,1,1
1928-05-04,0.7422527115742796,1.5712453645490765,1.0,0.6841833542342565,0.0154346835737881,0.028057925979867,1,3.682878265875863,0,20.239999771118164,20.239999771118164,20.239999771118164,0,8
1928-05-07,0.76446733835408,1.7167788388289702,1.0,0.6895161028652431,0.0083641362347459,0.0328714779984888,1,4.831941782471922,0,20.40999984741211,20.40999984741211,20.40999984741211,0,2
1928-05-08,0.710182727248752,1.7789740714790732,1.0,0.6940208637767273,-0.0068829862984021,0.0244706221385211,1,3.8385589195047576,0,20.270000457763672,20.270000457763672,20.270000457763672,0,6
1928-05-09,0.6987323866503119,1.7889804858515357,1.0,0.6559906575043939,-0.0014811499363438,0.0204648944265692,1,3.841158370714314,0,20.239999771118164,20.239999771118164,20.239999771118164,0,5
1928-05-10,0.6868071288170211,1.765159302955983,1.0,0.6206416076561514,-0.0014833469960549,0.0139513365777332,1,3.826781291855092,0,20.209999084472656,20.209999084472656,20.209999084472656,0,4
